collection,trajectory,insight_id,classification,reason,text,evidence,source
original,4,I005,direct,"Contains an actionable rule for a recurring evaluation, analysis, artifact, repository, or collection task in this workspace. Retrieve only for the matching task; repeated copies add no independent value.","Role routing is a central experimental variable in interactive evaluation. A compatibility override that applies the target model to assistant and judge roles changes both the generated trajectory and its scoring, so fixing only the judge is sufficient for reused single-turn responses but insufficient for multi-turn simulations that must be regenerated.","L023, L024, L025, L028",/n/holylabs/hlakkaraju_lab/Lab/zidi/user_simulation/oxygen-contributor-kit-2/data/stripped-trajectories-2026-09-07/trajectories/trajectory-004.jsonl.oxygen-agents/summary/insight.md
original,4,I006,direct,"Contains an actionable rule for a recurring evaluation, analysis, artifact, repository, or collection task in this workspace. Retrieve only for the matching task; repeated copies add no independent value.","Evaluation provenance has multiple levels: dataset source, row selection, original interaction model, requested evaluation model, and provider-served backend. Recording only some levels leaves distinct reproducibility gaps, as shown by the undocumented SOUL subset selection and the absence of provider-returned backend identities.","L026, L031, L036",/n/holylabs/hlakkaraju_lab/Lab/zidi/user_simulation/oxygen-contributor-kit-2/data/stripped-trajectories-2026-09-07/trajectories/trajectory-004.jsonl.oxygen-agents/summary/insight.md
original,4,I007,direct,"Contains an actionable rule for a recurring evaluation, analysis, artifact, repository, or collection task in this workspace. Retrieve only for the matching task; repeated copies add no independent value.","A reusable evaluation analyzer benefits from a shared tokenizer, explicit suite-level aggregation, and a plugin interface. Validating extracted quantities against evaluator-recorded invariants, such as turn counts, provides stronger evidence than unit tests alone that the abstraction preserves task semantics.","L019, L020, L021",/n/holylabs/hlakkaraju_lab/Lab/zidi/user_simulation/oxygen-contributor-kit-2/data/stripped-trajectories-2026-09-07/trajectories/trajectory-004.jsonl.oxygen-agents/summary/insight.md
original,4,I008,direct,"Contains an actionable rule for a recurring evaluation, analysis, artifact, repository, or collection task in this workspace. Retrieve only for the matching task; repeated copies add no independent value.","Randomizing candidate order and recording position counts supports bias audits, but anonymous identifiers should be encoded as fixed schema keys when possible. Allowing free-form response IDs created avoidable parsing failures that retries did not fully resolve.","L039, L040, L043",/n/holylabs/hlakkaraju_lab/Lab/zidi/user_simulation/oxygen-contributor-kit-2/data/stripped-trajectories-2026-09-07/trajectories/trajectory-004.jsonl.oxygen-agents/summary/insight.md
original,4,I009,conditional,"Useful for throughput optimization, but the observed cost balance is workload-specific; measure before applying.","The number of candidates alone does not determine comparative-judge input cost. Shared context and a shorter rubric nearly offset two extra responses in this run, while output length and sequential judges dominated latency; prompt components and generated output should therefore be measured separately when optimizing evaluation throughput.","L044, L045, L046, L047",/n/holylabs/hlakkaraju_lab/Lab/zidi/user_simulation/oxygen-contributor-kit-2/data/stripped-trajectories-2026-09-07/trajectories/trajectory-004.jsonl.oxygen-agents/summary/insight.md
original,4,I010,direct,"Contains an actionable rule for a recurring evaluation, analysis, artifact, repository, or collection task in this workspace. Retrieve only for the matching task; repeated copies add no independent value.","Benchmark labels should follow the actual reward objective and sampling protocol. The evaluated SimArena math score primarily measures behavioral fidelity rather than mathematical success, and the SOUL 100/100 adaptation differs from the original 50/51 assistant benchmark, so collapsing these settings under one benchmark name risks invalid comparisons.","L032, L033, L034",/n/holylabs/hlakkaraju_lab/Lab/zidi/user_simulation/oxygen-contributor-kit-2/data/stripped-trajectories-2026-09-07/trajectories/trajectory-004.jsonl.oxygen-agents/summary/insight.md
original,5,I001,direct,"Contains an actionable rule for a recurring evaluation, analysis, artifact, repository, or collection task in this workspace. Retrieve only for the matching task; repeated copies add no independent value.","Model routing is part of the evaluation protocol, not an implementation detail. A compatibility override silently collapsed four roles into one model and changed the experiment into self-play and self-judging. Role-specific provenance and routing tests are necessary before interpreting cross-model scores.","L019, L020, L021, L023, L024",/n/holylabs/hlakkaraju_lab/Lab/zidi/user_simulation/oxygen-contributor-kit-2/data/stripped-trajectories-2026-09-07/trajectories/trajectory-005.jsonl.oxygen-agents/summary/insight.md
original,5,I002,direct,"Contains an actionable rule for a recurring evaluation, analysis, artifact, repository, or collection task in this workspace. Retrieve only for the matching task; repeated copies add no independent value.","Fixing the auxiliary assistant improves comparability across evaluated simulators, but it does not reproduce human-reference conditions when the original conversations used heterogeneous assistants. Evaluations of interactive user behavior should record this environment mismatch and, when feasible, stratify or recreate the reference assistant.","L022, L024, L025",/n/holylabs/hlakkaraju_lab/Lab/zidi/user_simulation/oxygen-contributor-kit-2/data/stripped-trajectories-2026-09-07/trajectories/trajectory-005.jsonl.oxygen-agents/summary/insight.md
original,5,I003,direct,"Contains an actionable rule for a recurring evaluation, analysis, artifact, repository, or collection task in this workspace. Retrieve only for the matching task; repeated copies add no independent value.","Top-one win rate is sensitive to candidate composition and discards score margins. A model can have comparable average quality yet win rarely when its strong examples overlap with a stronger competitor. Absolute scores, pairwise credit, margin distributions, and uncertainty convey distinct information and should remain separate outputs.","L028, L029, L030, L033",/n/holylabs/hlakkaraju_lab/Lab/zidi/user_simulation/oxygen-contributor-kit-2/data/stripped-trajectories-2026-09-07/trajectories/trajectory-005.jsonl.oxygen-agents/summary/insight.md
original,5,I004,direct,"Contains an actionable rule for a recurring evaluation, analysis, artifact, repository, or collection task in this workspace. Retrieve only for the matching task; repeated copies add no independent value.","Opaque identifiers can cause structured-output failures even when task content is valid. Neutralizing identities in context and using short batch-local response IDs reduces parser errors while preserving substantive evidence, and resumable item-level recovery limits the cost of remaining failures.","L031, L040, L046",/n/holylabs/hlakkaraju_lab/Lab/zidi/user_simulation/oxygen-contributor-kit-2/data/stripped-trajectories-2026-09-07/trajectories/trajectory-005.jsonl.oxygen-agents/summary/insight.md
original,5,I005,direct,"Contains an actionable rule for a recurring evaluation, analysis, artifact, repository, or collection task in this workspace. Retrieve only for the matching task; repeated copies add no independent value.","A lower-assumption validation metric still requires tight controls over support and information flow. Fixed source-derived comparisons, identical support across systems and judges, removal of assistant and identity leakage, and dataset-level aggregation prevent the audit from measuring distractor choice, metadata, or unsupported per-user effects.","L035, L036, L038, L040, L043",/n/holylabs/hlakkaraju_lab/Lab/zidi/user_simulation/oxygen-contributor-kit-2/data/stripped-trajectories-2026-09-07/trajectories/trajectory-005.jsonl.oxygen-agents/summary/insight.md
original,5,I006,direct,"Contains an actionable rule for a recurring evaluation, analysis, artifact, repository, or collection task in this workspace. Retrieve only for the matching task; repeated copies add no independent value.","Distance-based audit components deliberately discard direction, so a low or high gap is ambiguous without signed diagnostics. Low specificity distance can mean shared correctness, shared uncertainty, or shared error, while high source distance can reflect confident correct or incorrect discrimination. Report direction, selection rates, and midpoint frequency beside every distance.","L041, L042, L055, L057",/n/holylabs/hlakkaraju_lab/Lab/zidi/user_simulation/oxygen-contributor-kit-2/data/stripped-trajectories-2026-09-07/trajectories/trajectory-005.jsonl.oxygen-agents/summary/insight.md
original,5,I007,direct,"Contains an actionable rule for a recurring evaluation, analysis, artifact, repository, or collection task in this workspace. Retrieve only for the matching task; repeated copies add no independent value.","Order reversal revealed substantial judge instability in the smoke test, yet the full run removed reversal to reduce cost. This creates a clear tradeoff: scale increased while a measured reliability control was dropped. Future full evaluations should retain reversals on a fixed calibration subset so order sensitivity remains estimable.","L048, L049, L050",/n/holylabs/hlakkaraju_lab/Lab/zidi/user_simulation/oxygen-contributor-kit-2/data/stripped-trajectories-2026-09-07/trajectories/trajectory-005.jsonl.oxygen-agents/summary/insight.md
original,5,I008,conditional,Calibration-pair proposal is plausible; the collection does not demonstrate that this proposed control fixes judge scale effects.,"Aggregate rankings can appear stable even when judge behavior dominates the scale. Gemini's strong preference for extreme labels pushed source distances near one, while system differences in the composite were small. Calibration controls such as human-human or same-source pairs are needed before interpreting the absolute magnitude as simulator distinguishability.","L048, L053, L054, L055, L056",/n/holylabs/hlakkaraju_lab/Lab/zidi/user_simulation/oxygen-contributor-kit-2/data/stripped-trajectories-2026-09-07/trajectories/trajectory-005.jsonl.oxygen-agents/summary/insight.md
original,5,I009,direct,"Contains an actionable rule for a recurring evaluation, analysis, artifact, repository, or collection task in this workspace. Retrieve only for the matching task; repeated copies add no independent value.","A small end-to-end smoke test can expose operational defects before a large judging wave. The smoke found identifier-transcription failures and enabled targeted recovery before the 11,300-item configuration, although the later full run still produced a small number of malformed-batch omissions, showing that recovery paths must remain part of the full protocol.","L044, L046, L047, L051, L053",/n/holylabs/hlakkaraju_lab/Lab/zidi/user_simulation/oxygen-contributor-kit-2/data/stripped-trajectories-2026-09-07/trajectories/trajectory-005.jsonl.oxygen-agents/summary/insight.md
original,5,I010,direct,"Contains an actionable rule for a recurring evaluation, analysis, artifact, repository, or collection task in this workspace. Retrieve only for the matching task; repeated copies add no independent value.","Agreement between a benchmark evaluator and a direct audit is itself an empirical result. The smoke showed opposite orderings, and the full Gemini audit produced only small pairwise differences; therefore a validation claim requires uncertainty estimates and cross-judge comparison rather than selecting the ranking that best matches an expected benchmark.","L033, L043, L048, L054, L057",/n/holylabs/hlakkaraju_lab/Lab/zidi/user_simulation/oxygen-contributor-kit-2/data/stripped-trajectories-2026-09-07/trajectories/trajectory-005.jsonl.oxygen-agents/summary/insight.md
original,6,I001,direct,"Contains an actionable rule for a recurring evaluation, analysis, artifact, repository, or collection task in this workspace. Retrieve only for the matching task; repeated copies add no independent value.","A lightweight compatibility harness can preserve task-level evaluation logic while removing large training dependencies, but launcher behavior becomes part of the evaluation's reliability surface. A successful local smoke test did not cover Slurm's spool execution context; resolving paths from the submission directory was necessary before the remote batch run became reliable.","L002, L003, L006, L007, L010",/n/holylabs/hlakkaraju_lab/Lab/zidi/user_simulation/oxygen-contributor-kit-2/data/stripped-trajectories-2026-09-07/trajectories/trajectory-006.jsonl.oxygen-agents/summary/insight.md
original,6,I002,direct,"Contains an actionable rule for a recurring evaluation, analysis, artifact, repository, or collection task in this workspace. Retrieve only for the matching task; repeated copies add no independent value.","One-row end-to-end preflights are an effective admission gate for expensive model evaluations because they detect schema incompatibility, access policy failures, and provider routing restrictions before hundreds of episodes are submitted. They cannot predict daily quota exhaustion, so quota capacity requires a separate check or a resumable schedule sized to the provider's limits.","L005, L012, L014, L016, L017",/n/holylabs/hlakkaraju_lab/Lab/zidi/user_simulation/oxygen-contributor-kit-2/data/stripped-trajectories-2026-09-07/trajectories/trajectory-006.jsonl.oxygen-agents/summary/insight.md
original,6,I003,direct,"Contains an actionable rule for a recurring evaluation, analysis, artifact, repository, or collection task in this workspace. Retrieve only for the matching task; repeated copies add no independent value.","Separating API credentials into explicit execution lanes allows independent providers to run concurrently without accidental key fallback, while dependency chains and temporary partition overrides control load and scheduling. The key selector must overwrite inherited credentials, and one-time infrastructure exceptions should remain outside persistent scheduling policy.","L015, L016, L018, L019, L020",/n/holylabs/hlakkaraju_lab/Lab/zidi/user_simulation/oxygen-contributor-kit-2/data/stripped-trajectories-2026-09-07/trajectories/trajectory-006.jsonl.oxygen-agents/summary/insight.md
original,6,I004,direct,"Contains an actionable rule for a recurring evaluation, analysis, artifact, repository, or collection task in this workspace. Retrieve only for the matching task; repeated copies add no independent value.","A reusable multi-model analysis layer benefits from three stable seams: schema normalization, a shared tokenizer, and extensible episode metrics. Adding suite-level aggregation above per-task rows makes model comparisons interpretable without discarding task-specific evidence, while machine-readable outputs and plugins reduce future changes to the core analyzer.","L021, L022, L024, L025",/n/holylabs/hlakkaraju_lab/Lab/zidi/user_simulation/oxygen-contributor-kit-2/data/stripped-trajectories-2026-09-07/trajectories/trajectory-006.jsonl.oxygen-agents/summary/insight.md
original,6,I005,direct,"Contains an actionable rule for a recurring evaluation, analysis, artifact, repository, or collection task in this workspace. Retrieve only for the matching task; repeated copies add no independent value.","Evaluation-role routing is a methodological parameter, not an implementation detail. Collapsing simulator, assistant, generator, and judge onto the target model changes both the generated interaction and the scoring calibration; for multi-turn evaluations, later rejudging cannot recover the counterfactual trajectory produced by a fixed assistant. Role-specific configuration should therefore be explicit and recorded before any large run.","L026, L027, L028, L041, L043",/n/holylabs/hlakkaraju_lab/Lab/zidi/user_simulation/oxygen-contributor-kit-2/data/stripped-trajectories-2026-09-07/trajectories/trajectory-006.jsonl.oxygen-agents/summary/insight.md
original,6,I006,direct,"Contains an actionable rule for a recurring evaluation, analysis, artifact, repository, or collection task in this workspace. Retrieve only for the matching task; repeated copies add no independent value.","Conversation-level benchmark examples carry interaction context beyond the user prompt, including the assistant that elicited the human behavior. Using a common fixed assistant improves controlled comparison among target simulators, but it also creates an environment mismatch with heterogeneous human references. Results should identify the adapted dataset and fixed-assistant protocol rather than inherit the original assistant-benchmark label.","L029, L030, L033, L038, L039",/n/holylabs/hlakkaraju_lab/Lab/zidi/user_simulation/oxygen-contributor-kit-2/data/stripped-trajectories-2026-09-07/trajectories/trajectory-006.jsonl.oxygen-agents/summary/insight.md
original,6,I007,direct,"Contains an actionable rule for a recurring evaluation, analysis, artifact, repository, or collection task in this workspace. Retrieve only for the matching task; repeated copies add no independent value.","An overall mean across heterogeneous suites can conceal both objective differences and weighting effects. Here, HUMANUAL contributes three quarters of the combined episodes, while SimArena rewards emphasize behavioral fidelity and, for math, omit direct correctness. Reporting suite and task aggregates is necessary to prevent the combined score from being interpreted as a balanced measure of general simulation quality.","L032, L034, L035, L036",/n/holylabs/hlakkaraju_lab/Lab/zidi/user_simulation/oxygen-contributor-kit-2/data/stripped-trajectories-2026-09-07/trajectories/trajectory-006.jsonl.oxygen-agents/summary/insight.md
